Player Filename,Firstname,Surname,PlayerWiki Filename,First College Team Link,Second College Team Link,First College,Second College,First College Name,First College Public,First College Private,First College Community,First College Location,First College Enrollment,Second College Name,Second College Public,Second College Private,Second College Community,Second College Location,Second College Enrollment
USWNT/tobin-heath.html,Tobin,Heath,PlayerWiki/Tobin_Heath.html,/North_Carolina_Tar_Heels_women%27s_soccer,N/A,Collegewiki/University_of_North_Carolina_at_Chapel_Hill,N/A,University of North Carolina at Chapel Hill,y,n,n,"Chapel Hill,North Carolina","29,847 (Fall 2017)",N/A,N/A,N/A,N/A,N/A
USWNT/natasha-kai.html,Natasha,Kai,PlayerWiki/Natasha_Kai.html,/Hawaii_Rainbow_Wahine,N/A,Collegewiki/University_of_Hawaii_at_M%C4%81noa,N/A,University of Hawaii at Manoa,y,n,n,"Honolulu,Hawaii","17,710 (fall 2018)",N/A,N/A,N/A,N/A,N/A
USWNT/angela-hucles.html,Angela,Hucles,PlayerWiki/Angela_Hucles.html,/Virginia_Cavaliers,N/A,Collegewiki/University_of_Virginia,N/A,University of Virginia,y,n,n,"Charlottesville,Virginia","24,360",N/A,N/A,N/A,N/A,N/A
USWNT/abby-wambach.html,Abby,Wambach,PlayerWiki/Abby_Wambach.html,/Florida_Gators_women%27s_soccer,N/A,Collegewiki/University_of_Florida,N/A,University of Florida,n,n,n,"Gainesville,Florida","56,079 (Fall 2018)",N/A,N/A,N/A,N/A,N/A
USWNT/lauren-holiday.html,Lauren,Holiday,PlayerWiki/Lauren_Holiday.html,/UCLA_Bruins,N/A,"Collegewiki/University_of_California,_Los_Angeles",N/A,"University of California, Los Angeles",y,n,n,"Westwood, Los Angeles,California","45,428 (Fall 2018)",N/A,N/A,N/A,N/A,N/A
USWNT/rachel-buehler.html,Rachel,Van Hollebeke,PlayerWiki/Rachel_Van Hollebeke.html,/Stanford_Cardinal_women%27s_soccer,N/A,Collegewiki/Stanford_University,N/A,Stanford University,n,y,n,"Stanford,California","16,520",N/A,N/A,N/A,N/A,N/A
USWNT/ella-masar.html,Ella,Masar,PlayerWiki/Ella_Masar.html,/Illinois_Fighting_Illini,N/A,Collegewiki/University_of_Illinois_at_Urbana%E2%80%93Champaign,N/A,University of Illinois at Urbana–Champaign,y,n,n,"Urbana,Champaign,Illinois","49,339 (Fall 2018)",N/A,N/A,N/A,N/A,N/A
USWNT/shannon-boxx.html,Shannon,Boxx,PlayerWiki/Shannon_Boxx.html,/Notre_Dame_Fighting_Irish,N/A,Collegewiki/University_of_Notre_Dame,N/A,University of Notre Dame,n,y,n,"Notre Dame,Indiana","12,292",N/A,N/A,N/A,N/A,N/A
USWNT/marian-dalmy.html,Marian,Dalmy,PlayerWiki/Marian_Dalmy.html,/Santa_Clara_Broncos,N/A,Collegewiki/Santa_Clara_University,N/A,Santa Clara University,n,y,n,"Santa Clara,California","8,629 (Fall 2017)",N/A,N/A,N/A,N/A,N/A
USWNT/stephanie-cox.html,Stephanie,Cox,PlayerWiki/Stephanie_Cox.html,/Portland_Pilots,N/A,Collegewiki/University_of_Portland,N/A,University of Portland,n,y,n,"Portland,Oregon","4,338 (fall 2016)",N/A,N/A,N/A,N/A,N/A
USWNT/lori-chalupny.html,Lori,Chalupny,PlayerWiki/Lori_Chalupny.html,/North_Carolina_Tar_Heels_women%27s_soccer,N/A,Collegewiki/University_of_North_Carolina_at_Chapel_Hill,N/A,University of North Carolina at Chapel Hill,y,n,n,"Chapel Hill,North Carolina","29,847 (Fall 2017)",N/A,N/A,N/A,N/A,N/A
USWNT/nicole-barnhart.html,Nicole,Barnhart,PlayerWiki/Nicole_Barnhart.html,/Stanford_Cardinal_women%27s_soccer,N/A,Collegewiki/Stanford_University,N/A,Stanford University,n,y,n,"Stanford,California","16,520",N/A,N/A,N/A,N/A,N/A
USWNT/leslie-osborne.html,Leslie,Osborne,PlayerWiki/Leslie_Osborne.html,/Santa_Clara_Broncos,N/A,Collegewiki/Santa_Clara_University,N/A,Santa Clara University,n,y,n,"Santa Clara,California","8,629 (Fall 2017)",N/A,N/A,N/A,N/A,N/A
