Player Filename,Firstname,Surname,PlayerWiki Filename
USWNT/ashley-hatch.html,Ashley,Hatch,PlayerWiki/Ashley_Hatch.html
USWNT/jessica-mcdonald.html,Jessica,McDonald,PlayerWiki/Jessica_McDonald.html
USWNT/andi-sullivan.html,Andi,Sullivan,PlayerWiki/Andi_Sullivan.html
USWNT/sofia-huerta.html,Sofia,Huerta,PlayerWiki/Sofia_Huerta.html
USWNT/savannah-mccaskill.html,Savannah,McCaskill,PlayerWiki/Savannah_McCaskill.html
USWNT/emily-fox.html,Emily,Fox,PlayerWiki/Emily_Fox_(soccer).html
USWNT/abby-dahlkemper.html,Abby,Dahlkemper,PlayerWiki/Abby_Dahlkemper.html
USWNT/carli-lloyd.html,Carli,Lloyd,PlayerWiki/Carli_Lloyd.html
USWNT/danielle-colaprico.html,Danielle,Colaprico,PlayerWiki/Danielle_Colaprico.html
USWNT/lynn-williams.html,Lynn,Williams,PlayerWiki/Lynn_Williams_(soccer).html
USWNT/crystal-dunn.html,Crystal,Dunn,PlayerWiki/Crystal_Dunn.html
USWNT/megan-rapinoe.html,Megan,Rapinoe,PlayerWiki/Megan_Rapinoe.html
USWNT/tobin-heath.html,Tobin,Heath,PlayerWiki/Tobin_Heath.html
USWNT/mallory-pugh.html,Mallory,Pugh,PlayerWiki/Mallory_Pugh.html
USWNT/morgan-brian.html,Morgan,Brian,PlayerWiki/Morgan_Brian.html
USWNT/adrianna-franch.html,Adrianna,Franch,PlayerWiki/Adrianna_Franch.html
USWNT/casey-short.html,Casey,Short,PlayerWiki/Casey_Short.html
USWNT/lindsey-horan.html,Lindsey,Horan,PlayerWiki/Lindsey_Horan.html
USWNT/alyssa-naeher.html,Alyssa,Naeher,PlayerWiki/Alyssa_Naeher.html
USWNT/haley-hanson.html,Haley,Hanson,PlayerWiki/Haley_Hanson.html
USWNT/merritt-mathias.html,Merritt,Mathias,PlayerWiki/Merritt_Mathias.html
USWNT/mccall-zerboni.html,McCall,Zerboni,PlayerWiki/McCall_Zerboni.html
USWNT/tierna-davidson.html,Tierna,Davidson,PlayerWiki/Tierna_Davidson.html
USWNT/samantha-mewis.html,Samantha,Mewis,PlayerWiki/Samantha_Mewis.html
USWNT/alex-morgan.html,Alex,Morgan,PlayerWiki/Alex_Morgan.html
USWNT/taylor-smith.html,Taylor,Smith,PlayerWiki/Taylor_Smith_(soccer).html
USWNT/rose-lavelle.html,Rose,Lavelle,PlayerWiki/Rose_Lavelle.html
USWNT/kelley-ohara.html,Kelley,O'Hara,PlayerWiki/Kelley_O'Hara.html
USWNT/allie-long.html,Allie,Long,PlayerWiki/Allie_Long.html
USWNT/ashlyn-harris.html,Ashlyn,Harris,PlayerWiki/Ashlyn_Harris.html
USWNT/emily-sonnett.html,Emily,Sonnett,PlayerWiki/Emily_Sonnett.html
USWNT/julie-johnston.html,Julie,Ertz,PlayerWiki/Julie_Ertz.html
USWNT/tegan-mcgrady.html,Tegan,McGrady,PlayerWiki/Tegan_McGrady.html
USWNT/amy-rodriguez.html,Amy,Rodriguez,PlayerWiki/Amy_Rodriguez.html
USWNT/jane-campbell.html,Jane,Campbell,PlayerWiki/Jane_Campbell_(soccer).html
USWNT/becky-sauerbrunn.html,Becky,Sauerbrunn,PlayerWiki/Becky_Sauerbrunn.html
USWNT/christen-press.html,Christen,Press,PlayerWiki/Christen_Press.html
USWNT/hailie-mace.html,Hailie,Mace,PlayerWiki/Hailie_Mace.html
